D:\Users\MathAngel\anaconda3\python.exe E:\Lab\base-T5-G8\base-ce.py 
training on  cuda
epoch 148, loss 0.1545, train acc 0.956, test_id acc 0.627, test_ood acc 0.427, time 20.9 sec
epoch 149, loss 0.1180, train acc 0.971, test_id acc 0.630, test_ood acc 0.446, time 20.9 sec
epoch 150, loss 0.0982, train acc 0.975, test_id acc 0.589, test_ood acc 0.394, time 20.9 sec
epoch 151, loss 0.0829, train acc 0.982, test_id acc 0.594, test_ood acc 0.379, time 20.8 sec
epoch 152, loss 0.0702, train acc 0.985, test_id acc 0.646, test_ood acc 0.474, time 20.3 sec
epoch 153, loss 0.0649, train acc 0.986, test_id acc 0.603, test_ood acc 0.370, time 20.5 sec
epoch 154, loss 0.0564, train acc 0.990, test_id acc 0.630, test_ood acc 0.450, time 20.6 sec
epoch 155, loss 0.0446, train acc 0.993, test_id acc 0.546, test_ood acc 0.446, time 20.4 sec
epoch 156, loss 0.0339, train acc 0.996, test_id acc 0.603, test_ood acc 0.314, time 20.4 sec
epoch 157, loss 0.0324, train acc 0.996, test_id acc 0.666, test_ood acc 0.488, time 20.4 sec
epoch 158, loss 0.0203, train acc 0.999, test_id acc 0.705, test_ood acc 0.476, time 20.4 sec
epoch 159, loss 0.0125, train acc 1.000, test_id acc 0.683, test_ood acc 0.456, time 20.3 sec
epoch 160, loss 0.0072, train acc 1.000, test_id acc 0.716, test_ood acc 0.457, time 20.4 sec
epoch 161, loss 0.0063, train acc 1.000, test_id acc 0.732, test_ood acc 0.468, time 20.4 sec
epoch 162, loss 0.0070, train acc 1.000, test_id acc 0.733, test_ood acc 0.474, time 20.3 sec
epoch 163, loss 0.0080, train acc 1.000, test_id acc 0.739, test_ood acc 0.482, time 20.4 sec
epoch 164, loss 0.0090, train acc 1.000, test_id acc 0.738, test_ood acc 0.485, time 20.3 sec
epoch 165, loss 0.0098, train acc 1.000, test_id acc 0.733, test_ood acc 0.482, time 20.4 sec
epoch 166, loss 0.0105, train acc 1.000, test_id acc 0.726, test_ood acc 0.480, time 20.4 sec
epoch 167, loss 0.0109, train acc 1.000, test_id acc 0.730, test_ood acc 0.490, time 20.4 sec
epoch 168, loss 0.0113, train acc 1.000, test_id acc 0.726, test_ood acc 0.489, time 20.4 sec
epoch 169, loss 0.0115, train acc 1.000, test_id acc 0.717, test_ood acc 0.479, time 20.4 sec
epoch 170, loss 0.0116, train acc 1.000, test_id acc 0.711, test_ood acc 0.472, time 20.3 sec
epoch 171, loss 0.0117, train acc 1.000, test_id acc 0.712, test_ood acc 0.472, time 20.4 sec
epoch 172, loss 0.0118, train acc 1.000, test_id acc 0.708, test_ood acc 0.480, time 20.6 sec
epoch 173, loss 0.0118, train acc 1.000, test_id acc 0.698, test_ood acc 0.469, time 20.5 sec
epoch 174, loss 0.0118, train acc 1.000, test_id acc 0.708, test_ood acc 0.489, time 20.4 sec
epoch 175, loss 0.0118, train acc 1.000, test_id acc 0.695, test_ood acc 0.477, time 20.4 sec
epoch 176, loss 0.0118, train acc 1.000, test_id acc 0.572, test_ood acc 0.384, time 20.3 sec
epoch 177, loss 0.0119, train acc 1.000, test_id acc 0.679, test_ood acc 0.467, time 20.4 sec
epoch 178, loss 0.0118, train acc 1.000, test_id acc 0.697, test_ood acc 0.514, time 20.4 sec
epoch 179, loss 0.0119, train acc 1.000, test_id acc 0.701, test_ood acc 0.515, time 20.3 sec
epoch 180, loss 0.0119, train acc 1.000, test_id acc 0.586, test_ood acc 0.347, time 20.3 sec
epoch 181, loss 0.2465, train acc 0.911, test_id acc 0.195, test_ood acc 0.095, time 20.4 sec
epoch 182, loss 1.3703, train acc 0.496, test_id acc 0.460, test_ood acc 0.287, time 20.4 sec
epoch 183, loss 1.1213, train acc 0.594, test_id acc 0.482, test_ood acc 0.237, time 20.4 sec
epoch 184, loss 0.9944, train acc 0.640, test_id acc 0.580, test_ood acc 0.316, time 20.4 sec
epoch 185, loss 0.8886, train acc 0.678, test_id acc 0.562, test_ood acc 0.316, time 20.3 sec
epoch 186, loss 0.8002, train acc 0.719, test_id acc 0.616, test_ood acc 0.319, time 20.3 sec
epoch 187, loss 0.7243, train acc 0.749, test_id acc 0.572, test_ood acc 0.392, time 20.3 sec
epoch 188, loss 0.6678, train acc 0.763, test_id acc 0.555, test_ood acc 0.357, time 20.3 sec
epoch 189, loss 0.6244, train acc 0.781, test_id acc 0.459, test_ood acc 0.390, time 20.4 sec
epoch 190, loss 0.5789, train acc 0.797, test_id acc 0.449, test_ood acc 0.292, time 20.4 sec
epoch 191, loss 0.4825, train acc 0.837, test_id acc 0.359, test_ood acc 0.205, time 20.3 sec
epoch 192, loss 0.4181, train acc 0.865, test_id acc 0.399, test_ood acc 0.305, time 20.3 sec
epoch 193, loss 0.4092, train acc 0.861, test_id acc 0.580, test_ood acc 0.390, time 20.4 sec
epoch 194, loss 0.3611, train acc 0.883, test_id acc 0.601, test_ood acc 0.401, time 20.4 sec
epoch 195, loss 0.3140, train acc 0.903, test_id acc 0.516, test_ood acc 0.290, time 20.4 sec
epoch 196, loss 0.2538, train acc 0.924, test_id acc 0.593, test_ood acc 0.314, time 20.3 sec
epoch 197, loss 0.2257, train acc 0.933, test_id acc 0.599, test_ood acc 0.261, time 20.3 sec
epoch 198, loss 0.2105, train acc 0.932, test_id acc 0.580, test_ood acc 0.336, time 20.3 sec
epoch 199, loss 0.1668, train acc 0.950, test_id acc 0.625, test_ood acc 0.302, time 20.4 sec
epoch 200, loss 0.1204, train acc 0.969, test_id acc 0.581, test_ood acc 0.354, time 20.3 sec
Running Time: 4138.391346216202 

Total Time: 4159.757838964462

进程已结束,退出代码0
